"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2857193,"March 19, 2024",Michigan,Detroit,"St Clair St and E Warren Ave",0,1,0,0,0,N/A
2856282,"March 18, 2024",Missouri,"Saint Louis","5800 block of Maffitt Ave",0,1,0,0,1,N/A
2855948,"March 17, 2024",Mississippi,Meridian,"1318 19th St",0,1,0,0,0,N/A
2856264,"March 17, 2024",Florida,Bunnell,"775 Old Haw Creek Rd",0,1,0,0,0,N/A
2855953,"March 17, 2024",Florida,Homestead,"SE 13th St",0,1,0,0,0,N/A
2855102,"March 16, 2024",Mississippi,Gulfport,"16303 MS-53",0,1,0,0,0,N/A
2856481,"March 16, 2024","North Carolina","Rocky Mount","1000 block of Manor Dr",0,1,0,0,0,N/A
2855465,"March 16, 2024","New York",Newburgh,"40 Walsh Rd",0,2,0,0,0,N/A
2855620,"March 16, 2024",Tennessee,Covington,"Wooten St",0,1,0,0,0,N/A
2853953,"March 15, 2024",Pennsylvania,"Sharon Hill","800 block of Felton Ave",0,1,0,0,0,N/A
2852329,"March 13, 2024",Florida,Miami,"11000 block of SW 30th St",1,1,0,0,0,N/A
2852467,"March 11, 2024",California,"Rancho Cucamonga","8200 block of Vineyard Ave",0,1,0,0,0,N/A
2849704,"March 10, 2024",Georgia,Atlanta,"Lisbon Dr SW",0,1,0,0,0,N/A
2850663,"March 10, 2024",Wisconsin,"Eau Claire","411 Galloway St",0,1,0,0,0,N/A
2849579,"March 9, 2024",Indiana,Evansville,"Washington Ave and S Evans Ave",0,0,0,1,1,N/A
2849860,"March 9, 2024",Idaho,"Idaho Falls","100 block of 4th St",1,1,0,1,1,N/A
2847808,"March 7, 2024",Montana,Libby,"US Hwy 2",0,1,0,0,0,N/A
2848224,"March 7, 2024",Illinois,Chicago,"6900 block of North Ave",0,1,0,0,1,N/A
2846127,"March 5, 2024",Oklahoma,Tulsa,"9120 E 31st St",0,0,0,1,1,N/A
2846071,"March 4, 2024",Oklahoma,Tishomingo,"Airport Rd",0,1,0,0,0,N/A
2846893,"March 4, 2024",Montana,Libby,US-2,0,1,0,0,0,N/A
2846202,"March 4, 2024",Pennsylvania,"Jersey Shore",N/A,0,1,0,0,0,N/A
2848471,"March 3, 2024",Ohio,Niles,"Niles Cortland Rd and Youngstown Warren Rd",0,1,0,0,0,N/A
2843902,"March 3, 2024",Virginia,"Virginia Beach","2200 block of Atlantic Ave",0,1,0,0,0,N/A
2844546,"March 3, 2024",Florida,Miami,"SW 208th St and SW 120th Pl",0,1,0,0,0,N/A
2845111,"March 3, 2024",Wyoming,Casper,"3845 E 2nd St",0,1,0,0,0,N/A
2845261,"March 3, 2024",Tennessee,Nashville,"7200 block of Hwy 70 S",0,1,0,0,0,N/A
2844303,"March 3, 2024",Mississippi,Meridian,"1300 block of 47th Ave",0,1,0,0,0,N/A
2843671,"March 2, 2024",Ohio,"Columbus (Obetz)","4250 Alum Creek Dr",0,1,0,0,0,N/A
2843951,"March 2, 2024","North Carolina","Roanoke Rapids","Premier Blvd",0,1,0,0,1,N/A
2843831,"March 2, 2024",Kansas,Wichita,"1700 block E English St",0,1,0,1,0,N/A
2843628,"March 2, 2024",Florida,"Miami Beach","126 Venetian Way",0,1,0,0,0,N/A
2844885,"March 1, 2024",Virginia,Radford,"3200 block of Peppers Ferry Rd NW",0,1,0,0,0,N/A
2839951,"February 26, 2024","North Carolina","Rocky Mount","1012 Star St",0,2,0,0,0,N/A
2838116,"February 25, 2024",Pennsylvania,"Nanty Glo","4009 William Penn Ave",0,1,0,0,0,N/A
2838752,"February 25, 2024","North Carolina","Tabor City","106 Forest Glen Dr",0,2,0,0,0,N/A
2839958,"February 24, 2024","North Carolina","Rocky Mount","1954 Stone Rose Dr",0,1,0,0,0,N/A
2840620,"February 24, 2024",Minnesota,Mankato,"MN-22 and Christa View Dr",0,1,0,0,0,N/A
2837873,"February 24, 2024",Kansas,Wichita,"E 19th St N and N Estelle St",0,1,0,0,0,N/A
2843829,"February 23, 2024","North Dakota",Fargo,"1040 35th St N",0,1,0,0,0,N/A
2838853,"February 22, 2024",Michigan,Holly,"E Maple St",0,1,0,0,1,N/A
2835787,"February 22, 2024",Florida,"Fort Lauderdale","1100 block of NW 24th Ave",0,1,0,0,0,N/A
2836307,"February 22, 2024",Illinois,Chicago,"2600 block of N Racine Ave",0,1,0,0,1,N/A
2836849,"February 22, 2024",Kansas,Manhattan,"100 block of Bluemont Ave",0,1,0,0,0,N/A
2835471,"February 21, 2024",Ohio,Overpeck,"2400 block of Jackson Rd",0,1,0,0,0,N/A
2834045,"February 20, 2024",Michigan,Holland,"2629 N Park Dr",0,1,0,0,0,N/A
2834367,"February 20, 2024",Maryland,Baltimore,"1300 block of Hollins St",0,1,0,0,0,N/A
2834818,"February 20, 2024",Wisconsin,Milwaukee,"3000 block of N 45th St",0,1,0,0,0,N/A
2833972,"February 19, 2024",Texas,"Corpus Christi","Lucinda Ln and Treyway Ln",0,1,0,0,1,N/A
2833361,"February 19, 2024",Louisiana,Shreveport,"1600 block of Oakdale St",0,1,0,0,1,N/A
2834119,"February 19, 2024",Ohio,Cleveland,"5107 Gifford Ave",0,1,0,0,1,N/A
