"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2857105,"March 19, 2024",Texas,"Spring (Klein)","10201 Spring Cypress Rd","Klein Cain High School",0,0,0,0,1,N/A
2856301,"March 18, 2024",Alabama,Huntsville,"4900 Meridian St N","Alabama A&M Knight Complex West",0,0,0,1,0,N/A
2856322,"March 18, 2024",Florida,"Gulf Breeze","675 Gulf Breeze Pkwy","Gulf Breeze High School",0,0,0,0,1,N/A
2854686,"March 15, 2024",Wisconsin,"Fish Creek","3924 WI-42","Gibraltar High School",0,0,0,0,1,N/A
2854191,"March 15, 2024",California,Antioch,"2801 Roosevelt Ln","Belshaw Elementary School",0,0,0,0,0,N/A
2853540,"March 14, 2024",Maryland,Baltimore,"1901 Delvale Ave","Dundalk High School",0,0,0,0,1,N/A
2854913,"March 14, 2024",Florida,"Palm Beach Gardens (Riviera Beach)","1232 W 31st St","Jackson Daycare Center",0,0,0,0,0,N/A
2852677,"March 13, 2024",Ohio,Massillon,"3737 13th St SW","Perry High School",0,0,0,0,1,N/A
2852763,"March 13, 2024",Washington,Seattle,"E Jefferson St and 23rd Ave",N/A,0,1,0,0,0,N/A
2852530,"March 13, 2024",Virginia,Arlington,"2121 N Culpeper St","Langston High School Continuation Program",0,0,0,0,1,N/A
2852785,"March 12, 2024",Washington,Tacoma,"701 S 37th St","Lincoln High School",0,0,0,0,1,N/A
2851616,"March 12, 2024",Maryland,Gaithersburg,"101 Education Blvd","Gaithersburg High School",0,0,0,0,1,N/A
2853247,"March 12, 2024",California,"Redwood City","1968 Old County Rd","Redwood High School",0,0,0,0,1,N/A
2851531,"March 12, 2024",Missouri,Riverside,"4500 River Pk Dr","Park Hill South High School",0,0,0,0,1,N/A
2851386,"March 12, 2024",Ohio,Cincinnati,"1231 W Kemper Rd","Winton Woods High School",0,0,0,0,1,N/A
2852418,"March 12, 2024",Georgia,Grovetown,"2010 Warrior Way","Grovetown High School",0,0,0,0,0,N/A
2853929,"March 12, 2024","New Mexico",Albuquerque,N/A,N/A,0,0,0,0,1,N/A
2850638,"March 11, 2024",Massachusetts,Springfield,"1250 State St","Springfield High School of Science & Technology",0,0,0,0,0,N/A
2856620,"March 11, 2024",Arkansas,"Sulphur Rock","480 N Main St","Sulphur Rock Elementary and Preschool",0,0,0,0,0,N/A
2850326,"March 11, 2024","North Carolina","Charlotte (Mint Hill)","10505 Clear Creek Commerce Dr","Rocky River High School",0,0,0,0,0,N/A
2849040,"March 8, 2024",Georgia,Lawrenceville,"1335 Old Norcross Rd","Discovery High School",0,0,0,0,1,N/A
2852735,"March 7, 2024","New York",Liberty,"125 Buckley St","Liberty High School",0,0,0,0,1,N/A
2847896,"March 7, 2024",Arizona,Phoenix,"E Van Buren St and 48th St","Maricopa Community College",0,0,1,0,0,N/A
2847657,"March 7, 2024",Tennessee,Chattanooga,"2500 Market St","The Howard School",0,0,0,0,1,N/A
2847448,"March 7, 2024","New York",Brooklyn,"400 Ashford St","P.S. 158 — The Warwick Community School",0,0,0,0,0,N/A
2849371,"March 7, 2024",Kentucky,Lexington,"401 Reed Ln","Lafayette Senior High School",0,0,0,0,0,N/A
2847981,"March 7, 2024",Wisconsin,Milwaukee,"6700 N 80th St","Morse Middle School",0,0,0,0,1,N/A
2846687,"March 6, 2024",Virginia,Franklin,"300 Morton St","S.P. Morton Elementary School",0,0,0,0,0,N/A
2855707,"March 6, 2024",Washington,Yelm,"10605 Carter St SE","Ridgeline Middle School",0,0,0,0,1,N/A
2847400,"March 6, 2024",Maryland,Waldorf,"5305 Piney Church Rd","St. Charles High School",0,0,0,0,0,N/A
2846148,"March 5, 2024",Pennsylvania,Philadelphia,"1402 W Oxford St","New Barber's Hall",0,1,0,0,0,N/A
2850648,"March 5, 2024",Washington,Kennewick,"560 W 6th Ave","Kennewick High School",0,0,0,0,1,N/A
2845888,"March 5, 2024",Indiana,"Indianapolis (Lawrence)","7510 E 53rd St","Harrison Hill Elementary School",0,1,0,0,1,N/A
2845811,"March 5, 2024",Indiana,Fishers,"11300 E 121st St","Hoosier Road Elementary School",0,0,0,0,1,N/A
2846071,"March 4, 2024",Oklahoma,Tishomingo,"Airport Rd","Murray State College Firing Range",0,1,0,0,0,N/A
2845060,"March 4, 2024",Tennessee,Brighton,"8045 US-51","Brighton High School",0,0,0,0,1,N/A
2846853,"March 4, 2024",Texas,"Corpus Christi","1 Battlin Buc Blvd","Roy Miller High School",0,0,0,0,2,N/A
2844808,"March 4, 2024","South Carolina",Hartsville,"300 E College Ave","Coker University",0,0,0,0,1,N/A
2845631,"March 4, 2024","North Carolina","Winston Salem (Winston-salem)","3507 Midway School Rd","Oak Grove High School",0,0,0,0,0,N/A
2843300,"March 2, 2024",Indiana,Rochester,"1645 S Park Rd","Rochester High School",0,0,0,0,1,N/A
2843527,"March 2, 2024",Missouri,"Kansas City (North Kansas City)","620 E 23rd Ave","North Kansas City High School",0,2,0,0,2,N/A
2842959,"March 1, 2024",Ohio,"Cleveland (Lyndhurst)","4875 Glenlyn Rd","Charles F. Brush High School",0,0,0,0,1,N/A
2842603,"March 1, 2024",Virginia,Alexandria,"530 S St Asaph St","Lyles-Crouch Traditional Academy",0,0,0,0,0,N/A
2842662,"March 1, 2024","North Carolina",Wilson,"500 Harrison Dr","Fike High School",0,0,0,0,0,N/A
2842517,"March 1, 2024","North Carolina","Charlotte (Mint Hill)","10505 Clear Creek Commerce Dr","Rocky River High School",0,0,0,0,0,N/A
2845398,"March 1, 2024",Utah,Layton,"440 Wasatch Dr","Layton High School",0,0,0,0,1,N/A
2842890,"March 1, 2024",Louisiana,Carencro,"200 block of Bradford Dr",N/A,1,0,0,0,1,N/A
2843075,"March 1, 2024",Arkansas,"Little Rock","21501 Cantrell Rd","Joe T. Robinson High School",0,0,0,0,1,N/A
2841708,"February 29, 2024",Tennessee,Memphis,"1363 E Person Ave","Hamilton High School",0,0,0,0,1,N/A
2841710,"February 29, 2024",Virginia,Vinton,"2902 E Washington Ave","William Byrd High School",0,0,0,0,1,N/A
2842837,"February 29, 2024",Texas,Temple,"8818 Tarver Dr","Lake Belton Middle School",0,0,0,0,0,N/A
2842653,"February 29, 2024",Texas,Midlothian,"923 S 9th St","Midlothian High School",0,0,0,0,1,N/A
2841420,"February 29, 2024",Texas,Houston,"6700 Bellaire Blvd","KIPP Connect Primary",0,0,0,0,1,N/A
2841234,"February 29, 2024","South Carolina",Greenville,"44 Merriwoods Dr","Tanglewood Middle School",0,0,0,0,1,N/A
2842499,"February 29, 2024","North Carolina",Asheville,"211 S French Broad Ave","Asheville Middle School",0,0,0,0,1,N/A
2842712,"February 29, 2024",Florida,Jacksonville,"590 Duval Station Rd","First Coast High School",0,0,0,0,1,N/A
2842874,"February 28, 2024",Arizona,Buckeye,"3000 S Apache Rd","Youngker High School",0,0,0,0,1,N/A
2846880,"February 28, 2024",Oklahoma,Poteau,"101 Pirate Ln","Poteau High School",0,0,0,0,0,N/A
2842167,"February 28, 2024",Mississippi,Jackson,"2940 Belvedere Dr","Peeples Middle School",0,0,0,0,1,N/A
2840986,"February 27, 2024","New Jersey",Newark,"279 Chancellor Ave","Weequahic High School",0,0,0,0,1,N/A
2839965,"February 27, 2024",Kentucky,Erlanger,"305 Bartlett Ave","Tichenor Middle School",0,0,0,0,1,N/A
2843338,"February 27, 2024",Georgia,Snellville,"2288 Main St E","South Gwinnett High School",0,0,0,0,1,N/A
2840561,"February 27, 2024",Delaware,Georgetown,"26026 Patriots Way","Sussex Central High School",0,0,0,0,2,N/A
2848047,"February 27, 2024","South Carolina","Myrtle Beach","3301 N Oak St","Horry County Adult Education",0,0,0,0,1,N/A
2840902,"February 27, 2024",Illinois,"Carol Stream","475 Chippewa Trail","Roy De Shane Elementary School",0,0,0,0,1,N/A
2840993,"February 27, 2024",Kentucky,Louisville,"5901 Greenwood Rd","Pleasure Ridge Park High School",0,0,0,0,0,N/A
2838533,"February 26, 2024",Texas,Odessa,"1301 Dotsy Ave","Odessa High School",0,1,0,0,1,N/A
2838750,"February 26, 2024","North Carolina",Shelby,"230 E Dixon Blvd","Shelby High School",0,0,0,0,0,N/A
2846429,"February 26, 2024","South Carolina",Mccormick,"192 Gettys Rd","South Carolina Governor's School for Agriculture at John de la Howe",0,0,0,0,0,N/A
2839332,"February 26, 2024",Arizona,"Casa Grande","1556 N Arizola Rd","Vista Grande High School",0,0,0,0,1,N/A
2839083,"February 26, 2024",Tennessee,Nashville,"904 26th Ave N","Pearl Cohn High School",0,0,0,0,2,N/A
2840132,"February 26, 2024",Missouri,"Saint Louis","5401 Lucas and Hunt Rd","Lutheran North High School",0,0,0,0,1,N/A
2840053,"February 25, 2024",Illinois,Evanston,"70 Arts Cir Dr","Henry and Leigh Bienen School of Music Northwestern University",0,0,0,0,0,N/A
2836786,"February 23, 2024","West Virginia",Bluefield,"2915 Old Bramwell Rd","Brushfork Armory",0,1,0,0,0,N/A
2837275,"February 23, 2024",Florida,Palmetto,"1200 17th St W","Palmetto High School",0,0,0,0,1,N/A
2842713,"February 23, 2024",Indiana,Portland,"414 Floral Ave","Jay School Corporation",0,0,0,0,1,N/A
2837638,"February 23, 2024",Illinois,Gurnee,"4460 Old Grand Ave","Viking Middle School",0,0,0,0,1,N/A
2838759,"February 23, 2024",Pennsylvania,Elverson,"4897 N Twin Valley Rd","Twin Valley High School",0,0,0,0,0,N/A
2836933,"February 23, 2024",Kansas,Olathe,"21300 College Blvd","Olathe Northwest High School",0,0,0,0,1,N/A
2848911,"February 23, 2024",Wyoming,Gillette,"1000 Camel Dr","Campbell County High School",0,0,0,0,1,N/A
2836670,"February 22, 2024",Tennessee,Memphis,"1530 Dellwood Ave","MLK College Preparatory High School",0,0,0,0,2,N/A
2835797,"February 22, 2024",Florida,"Fort Lauderdale","2501 NW 11th St","Dillard High School",0,0,0,0,1,N/A
2837669,"February 22, 2024",Georgia,Gainesville,"2723 Tumbling Creek Rd","Lanier College and Career Academy",0,0,0,0,1,N/A
2836237,"February 22, 2024",Ohio,"Canal Winchester","300 Washington St","Canal Winchester High School",0,0,0,0,1,N/A
